Frequenz	Kanal A	Kanal C
(MHz)	(dBV)	(dBV)

0.06811960	-110.69760000	-52.19336000
0.06839208	-110.54090000	-52.11340000
0.06866456	-110.25660000	-52.29557000
0.06893703	-110.16110000	-52.32318000
0.06920951	-110.34240000	-52.25561000
0.06948199	-110.77360000	-52.41595000
0.06975447	-110.45340000	-52.28001000
0.07002695	-110.21080000	-52.25019000
0.07029943	-110.55170000	-52.08100000
0.07057190	-110.62400000	-52.22095000
0.07084438	-110.43230000	-52.24997000
0.07111686	-110.39910000	-52.31120000
0.07138934	-110.47880000	-52.35022000
0.07166182	-110.74620000	-52.10488000
0.07193430	-110.62790000	-52.27499000
0.07220677	-110.65830000	-52.27359000
0.07247925	-110.61210000	-52.14677000
0.07275173	-110.68060000	-52.17453000
0.07302421	-110.20010000	-52.17178000
0.07329669	-110.18580000	-52.30713000
0.07356917	-110.24430000	-52.39161000
0.07384164	-110.48900000	-52.30523000
0.07411412	-110.69520000	-52.35242000
0.07438660	-110.58900000	-52.47199000
0.07465908	-110.44600000	-52.23043000
0.07493156	-110.54410000	-52.37894000
0.07520404	-110.66410000	-52.30229000
0.07547652	-110.80610000	-52.32774000
0.07574899	-110.55880000	-52.21479000
0.07602147	-110.51610000	-52.23462000
0.07629395	-110.40770000	-52.74163000
0.07656643	-110.58900000	-52.66302000
0.07683891	-110.45690000	-52.47204000
0.07711139	-110.36990000	-52.49393000
0.07738386	-110.46890000	-52.27341000
0.07765634	-110.41960000	-52.30793000
0.07792882	-110.36360000	-52.28643000
0.07820130	-110.45360000	-52.24908000
0.07847378	-110.55870000	-52.21032000
0.07874626	-110.69650000	-52.31731000
0.07901873	-110.65900000	-52.44786000
0.07929121	-110.50300000	-52.40966000
0.07956369	-110.39430000	-52.35264000
0.07983617	-110.43090000	-52.21194000
0.08010865	-110.35940000	-52.31097000
0.08038113	-109.86190000	-52.17179000
0.08065360	-107.11250000	-52.23113000
0.08092608	-105.03380000	-52.10878000
0.08119856	-105.64280000	-52.13332000
0.08147104	-108.44630000	-52.37262000
0.08174352	-110.19230000	-52.32043000
0.08201600	-110.40380000	-52.33449000
0.08228847	-110.44270000	-52.33071000
0.08256095	-110.73530000	-52.48600000
0.08283343	-110.60470000	-52.12759000
0.08310591	-110.64540000	-52.35727000
0.08337839	-110.30690000	-52.30669000
0.08365087	-110.36060000	-52.49294000
0.08392335	-110.53880000	-52.39452000
0.08419582	-110.34220000	-52.29580000
0.08446830	-110.41700000	-52.22803000
0.08474078	-110.33930000	-52.03952000
0.08501326	-110.15540000	-51.85655000
0.08528574	-110.25680000	-52.08969000
0.08555822	-110.30080000	-51.97175000
0.08583069	-110.28360000	-51.92957000
0.08610317	-110.27100000	-52.11763000
0.08637565	-110.34390000	-52.29328000
0.08664813	-110.33410000	-52.41141000
0.08692061	-110.36070000	-52.52661000
0.08719309	-110.56890000	-52.52290000
0.08746556	-110.60730000	-52.81161000
0.08773804	-110.57160000	-52.87251000
0.08801052	-110.47830000	-52.54151000
0.08828300	-110.59900000	-52.45061000
0.08855548	-110.30260000	-52.38723000
0.08882796	-110.04780000	-52.07284000
0.08910043	-110.12930000	-52.11402000
0.08937291	-110.26910000	-52.48365000
0.08964539	-110.21070000	-52.69157000
0.08991787	-110.36680000	-52.52784000
0.09019035	-110.53230000	-52.27905000
0.09046283	-110.63370000	-52.24316000
0.09073531	-110.46940000	-52.23948000
0.09100778	-110.44460000	-52.06880000
0.09128026	-110.52510000	-51.98515000
0.09155274	-110.19680000	-52.15931000
0.09182522	-110.27000000	-52.20702000
0.09209770	-110.30750000	-52.18627000
0.09237018	-110.00950000	-52.47123000
0.09264265	-109.93160000	-52.62009000
0.09291513	-110.11370000	-52.47861000
0.09318761	-110.21160000	-52.39920000
0.09346009	-110.30890000	-52.34945000
0.09373257	-110.48560000	-52.24547000
0.09400505	-110.51090000	-52.05388000
0.09427752	-110.42110000	-52.18068000
0.09455000	-110.54650000	-52.30038000
0.09482248	-110.79480000	-52.30292000
0.09509496	-110.73800000	-52.55261000
0.09536744	-110.29260000	-52.24767000
0.09563992	-110.06950000	-52.17283000
0.09591239	-110.08580000	-52.19247000
0.09618487	-110.08790000	-52.25546000
0.09645735	-110.24970000	-52.25957000
0.09672983	-110.68830000	-52.25290000
0.09700231	-110.61080000	-52.11684000
0.09727479	-110.44090000	-52.29687000
0.09754726	-110.36730000	-52.54171000
0.09781974	-110.53170000	-52.55088000
0.09809222	-110.20890000	-52.31083000
0.09836470	-109.56860000	-51.98372000
0.09863718	-107.83480000	-52.11101000
0.09890966	-105.98260000	-52.28305000
0.09918214	-106.16840000	-52.37559000
0.09945461	-108.16610000	-52.49262000
0.09972709	-109.45680000	-52.33617000
0.09999957	-110.05930000	-52.39293000
0.10027205	-110.12440000	-52.29899000
0.10054453	-109.98080000	-52.09908000
0.10081701	-109.98090000	-52.15601000
0.10108948	-110.09680000	-52.28335000
0.10136196	-110.10160000	-52.29579000
0.10163444	-109.87570000	-52.36105000
0.10190692	-109.61550000	-52.19907000
0.10217940	-109.80110000	-52.39341000
0.10245188	-109.83040000	-52.49031000
0.10272435	-109.97350000	-52.60382000
0.10299683	-109.84100000	-52.18985000
0.10326931	-109.97890000	-52.11076000
0.10354179	-109.95570000	-52.07716000
0.10381427	-109.89480000	-52.27356000
0.10408675	-109.94760000	-52.29167000
0.10435922	-109.90260000	-51.97899000
0.10463170	-110.37610000	-52.04265000
0.10490418	-110.53240000	-52.23185000
0.10517666	-110.35260000	-52.41093000
0.10544914	-110.10130000	-52.46181000
0.10572162	-109.86230000	-52.37101000
0.10599410	-109.97570000	-52.36794000
0.10626657	-110.09050000	-52.40560000
0.10653905	-110.03070000	-52.55560000
0.10681153	-110.14270000	-52.58646000
0.10708401	-110.28040000	-52.42614000
0.10735649	-110.40100000	-52.25821000
0.10762897	-110.05390000	-52.44617000
0.10790144	-110.06990000	-52.16957000
0.10817392	-110.19280000	-52.42495000
0.10844640	-110.06590000	-52.34200000
0.10871888	-109.95270000	-52.14084000
0.10899136	-110.18020000	-52.11185000
0.10926384	-110.23720000	-52.07993000
0.10953631	-110.52820000	-52.33761000
0.10980879	-110.42010000	-52.34101000
0.11008127	-110.16420000	-52.45829000
0.11035375	-110.06860000	-52.24354000
0.11062623	-110.22640000	-52.47169000
0.11089871	-110.41910000	-52.26203000
0.11117118	-110.15070000	-52.45280000
0.11144366	-110.20040000	-52.60516000
0.11171614	-110.34360000	-52.74202000
0.11198862	-110.60580000	-52.47424000
0.11226110	-110.24080000	-52.39085000
0.11253358	-110.20140000	-52.38384000
0.11280605	-110.23810000	-52.59319000
0.11307853	-110.07800000	-52.39454000
0.11335101	-109.92600000	-52.35593000
0.11362349	-110.17220000	-52.30547000
0.11389597	-110.21280000	-52.25814000
0.11416845	-110.04800000	-52.25379000
0.11444093	-110.20390000	-52.36203000
0.11471340	-110.41630000	-52.32632000
0.11498588	-110.21800000	-52.51796000
0.11525836	-110.04480000	-52.59721000
0.11553084	-109.98860000	-52.31389000
0.11580332	-109.86560000	-52.09155000
0.11607580	-109.59740000	-52.58664000
0.11634827	-109.54410000	-52.77099000
0.11662075	-108.88030000	-52.69331000
0.11689323	-107.84010000	-52.56330000
0.11716571	-107.98470000	-52.64957000
0.11743819	-109.16120000	-52.60519000
0.11771067	-109.63370000	-52.57423000
0.11798314	-109.75980000	-52.74455000
0.11825562	-109.75600000	-52.49179000
0.11852810	-109.83260000	-52.59365000
0.11880058	-109.71580000	-52.64093000
0.11907306	-109.59930000	-52.61295000
0.11934554	-109.70260000	-52.78991000
0.11961801	-110.01240000	-52.78026000
0.11989049	-110.26680000	-52.82741000
0.12016297	-110.23080000	-52.72482000
0.12043545	-109.98870000	-52.63337000
0.12070793	-110.06330000	-52.30658000
0.12098041	-109.88970000	-52.48379000
0.12125289	-109.97630000	-52.53494000
0.12152536	-110.00960000	-52.60332000
0.12179784	-110.12640000	-52.55654000
0.12207032	-110.06580000	-52.59954000
0.12234280	-110.07520000	-52.42841000
0.12261528	-109.88250000	-52.34887000
0.12288776	-109.94280000	-52.31290000
0.12316023	-110.05600000	-52.30663000
0.12343271	-110.14600000	-52.34569000
0.12370519	-109.94700000	-52.34349000
0.12397767	-109.86660000	-52.27441000
0.12425015	-109.97840000	-52.44466000
0.12452263	-109.82260000	-52.84291000
0.12479510	-109.94670000	-52.78802000
0.12506758	-109.75970000	-52.52488000
0.12534006	-109.76560000	-52.46479000
0.12561254	-109.98450000	-52.48186000
0.12588502	-110.07770000	-52.60370000
0.12615750	-110.03310000	-52.32397000
0.12642997	-109.69680000	-52.22418000
0.12670245	-109.79830000	-52.45218000
0.12697493	-110.10920000	-52.66509000
0.12724741	-110.13260000	-52.81285000
0.12751989	-110.06340000	-52.56656000
0.12779237	-110.11920000	-52.41208000
