Frequenz	Kanal A	Kanal B
(MHz)	(dBV)	(dBV)

0.95748901	-106.46130000	-87.58585000
0.96130371	-107.12480000	-87.61124000
0.96511841	-106.65750000	-87.66399000
0.96893311	-106.26010000	-87.48744000
0.97274780	-106.47890000	-87.46333000
0.97656250	-106.81950000	-87.05680000
0.98037720	-106.82360000	-87.04779000
0.98419189	-107.24100000	-87.49801000
0.98800659	-106.59370000	-87.40962000
0.99182129	-106.43600000	-87.63028000
0.99563599	-107.04020000	-87.59698000
0.99945068	-107.56300000	-87.90987000
1.00326538	-107.96470000	-88.14440000
1.00708008	-107.59710000	-88.09593000
1.01089478	-108.14340000	-88.04263000
1.01470947	-108.18690000	-88.08416000
1.01852417	-107.76780000	-87.77273000
1.02233887	-107.43750000	-87.86314000
1.02615356	-107.01120000	-88.05733000
1.02996826	-107.38320000	-88.34348000
1.03378296	-107.15500000	-88.05192000
1.03759766	-107.02970000	-88.32061000
1.04141235	-106.81120000	-88.28822000
1.04522705	-107.20030000	-88.67157000
1.04904175	-107.91350000	-88.61328000
1.05285645	-107.94140000	-88.55436000
1.05667114	-107.97830000	-88.49472000
1.06048584	-107.93330000	-88.30054000
1.06430054	-107.83560000	-88.60386000
1.06811523	-108.25550000	-88.46435000
1.07192993	-108.17820000	-88.27788000
1.07574463	-108.04660000	-88.40832000
1.07955933	-107.28830000	-88.40539000
1.08337402	-107.43940000	-88.53861000
1.08718872	-108.24850000	-88.06737000
1.09100342	-108.19180000	-88.49035000
1.09481812	-107.16050000	-89.02428000
1.09863281	-107.08010000	-88.81532000
1.10244751	-106.96030000	-88.14790000
1.10626221	-107.45290000	-88.43930000
1.11007690	-107.80230000	-88.63499000
1.11389160	-107.55430000	-88.32746000
1.11770630	-108.13220000	-88.79809000
1.12152100	-108.68900000	-88.82320000
1.12533569	-109.15980000	-88.80678000
1.12915039	-109.13500000	-88.89777000
1.13296509	-108.72030000	-89.49761000
1.13677979	-108.97240000	-89.33655000
1.14059448	-109.54660000	-88.97387000
1.14440918	-109.72270000	-89.27991000
1.14822388	-109.14870000	-89.27110000
1.15203857	-109.14410000	-89.16386000
1.15585327	-109.10460000	-88.87862000
1.15966797	-108.81880000	-89.44475000
1.16348267	-109.24510000	-89.20782000
1.16729736	-109.28890000	-89.67000000
1.17111206	-108.93360000	-89.84885000
1.17492676	-108.73300000	-90.00189000
1.17874146	-108.79060000	-90.08301000
1.18255615	-109.16320000	-89.65707000
1.18637085	-109.02170000	-89.82149000
1.19018555	-109.18770000	-89.63112000
1.19400024	-109.61220000	-89.85596000
1.19781494	-109.09240000	-89.24822000
1.20162964	-108.94410000	-89.34468000
1.20544434	-109.77090000	-89.60890000
1.20925903	-110.36340000	-89.54156000
1.21307373	-110.26720000	-89.68677000
1.21688843	-110.19390000	-89.61958000
1.22070313	-110.08470000	-89.59402000
1.22451782	-110.36690000	-89.17712000
1.22833252	-111.07590000	-89.20583000
1.23214722	-110.57320000	-89.36115000
1.23596191	-110.19770000	-89.49660000
1.23977661	-109.80420000	-89.66776000
1.24359131	-109.50980000	-89.67602000
1.24740601	-109.67690000	-89.90399000
1.25122070	-109.91640000	-90.00644000
1.25503540	-110.52470000	-90.12934000
1.25885010	-111.65810000	-89.87843000
1.26266479	-112.17710000	-90.08113000
1.26647949	-112.42500000	-89.89692000
1.27029419	-112.50200000	-89.94530000
1.27410889	-112.52370000	-90.09578000
1.27792358	-112.13870000	-90.49602000
1.28173828	-111.82730000	-90.62842000
1.28555298	-111.21730000	-90.33704000
1.28936768	-111.04560000	-90.14340000
1.29318237	-111.74380000	-90.47945000
1.29699707	-111.74040000	-90.42723000
1.30081177	-111.76810000	-90.47781000
1.30462646	-111.44410000	-90.77864000
1.30844116	-111.37300000	-90.78282000
