Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

-96.86736053	-0.48963460	0.01577879
-96.85920053	-0.48963460	0.01577879
-96.85104053	-0.48963460	0.01577879
-96.84288053	-0.48963460	0.01577879
-96.83472053	-0.48963460	0.01577879
-96.82656053	-0.49753940	0.01577879
-96.81840053	-0.49753940	0.01577879
-96.81024053	-0.49753940	0.01577879
-96.80208053	-0.49753940	0.01577879
-96.79392053	-0.48963460	0.01577879
-96.78576053	-0.49753940	0.01577879
-96.77760053	-0.48963460	0.01577879
-96.76944053	-0.49753940	0.01577879
-96.76128053	-0.49753940	0.01577879
-96.75312053	-0.49753940	0.01577879
-96.74496053	-0.49753940	0.01577879
-96.73680053	-0.48963460	0.01577879
-96.72864053	-0.48963460	0.01577879
-96.72048053	-0.48963460	0.01577879
-96.71232053	-0.49753940	0.01577879
-96.70416053	-0.48963460	0.01577879
-96.69600053	-0.48963460	0.01577879
-96.68784053	-0.48963460	0.01577879
-96.67968053	-0.48963460	0.01577879
-96.67152053	-0.48963460	0.01577879
-96.66336053	-0.48963460	0.01577879
-96.65520053	-0.48963460	0.01577879
-96.64704053	-0.48963460	0.01577879
-96.63888053	-0.48963460	0.01577879
-96.63072053	-0.48963460	0.01577879
-96.62256053	-0.48963460	0.01577879
-96.61440053	-0.48963460	0.01577879
-96.60624053	-0.48963460	0.01577879
-96.59808053	-0.48963460	0.01577879
-96.58992053	-0.48963460	0.01577879
-96.58176053	-0.48963460	0.01577879
-96.57360053	-0.48176060	0.01577879
-96.56544053	-0.48176060	0.01577879
-96.55728053	-0.48176060	0.01577879
-96.54912053	-0.48176060	0.01577879
-96.54096053	-0.48176060	0.01577879
-96.53280053	-0.48176060	0.01577879
-96.52464053	-0.48176060	0.01577879
-96.51648053	-0.48176060	0.01577879
-96.50832053	-0.48176060	0.01577879
-96.50016053	-0.48176060	0.01577879
-96.49200053	-0.48176060	0.01577879
-96.48384053	-0.48176060	0.01577879
-96.47568053	-0.48176060	0.01577879
-96.46752053	-0.48176060	0.01577879
-96.45936053	-0.48176060	0.01577879
-96.45120053	-0.48176060	0.01577879
-96.44304053	-0.48176060	0.01577879
-96.43488053	-0.47385580	0.01577879
-96.42672053	-0.48176060	0.01577879
-96.41856053	-0.47385580	0.01577879
-96.41040053	-0.48176060	0.01577879
-96.40224053	-0.47385580	0.01577879
-96.39408053	-0.48176060	0.01577879
-96.38592053	-0.47385580	0.01577879
-96.37776053	-0.47385580	0.01577879
-96.36960053	-0.47385580	0.01577879
-96.36144053	-0.47385580	0.01577879
-96.35328053	-0.47385580	0.01577879
-96.34512053	-0.47385580	0.01577879
-96.33696053	-0.47385580	0.01577879
-96.32880053	-0.47385580	0.01577879
-96.32064052	-0.47385580	0.01577879
-96.31248052	-0.47385580	0.01577879
-96.30432052	-0.47385580	0.01577879
-96.29616052	-0.47385580	0.01577879
-96.28800052	-0.47385580	0.01577879
-96.27984052	-0.46595100	0.01577879
-96.27168052	-0.47385580	0.01577879
-96.26352052	-0.46595100	0.01577879
-96.25536052	-0.47385580	0.01577879
-96.24720052	-0.47385580	0.01577879
-96.23904052	-0.47385580	0.01577879
-96.23088052	-0.46595100	0.01577879
-96.22272052	-0.46595100	0.01577879
-96.21456052	-0.46595100	0.01577879
-96.20640052	-0.46595100	0.01577879
-96.19824052	-0.46595100	0.01577879
-96.19008052	-0.46595100	0.01577879
-96.18192052	-0.46595100	0.01577879
-96.17376052	-0.46595100	0.01577879
-96.16560052	-0.46595100	0.01577879
-96.15744052	-0.46595100	0.01577879
-96.14928052	-0.46595100	0.01577879
-96.14112052	-0.46595100	0.01577879
-96.13296052	-0.46595100	0.01577879
-96.12480052	-0.46595100	0.01577879
-96.11664052	-0.46595100	0.01577879
-96.10848052	-0.46595100	0.01577879
-96.10032052	-0.45804630	0.01577879
-96.09216052	-0.46595100	0.01577879
-96.08400052	-0.46595100	0.01577879
-96.07584052	-0.46595100	0.01577879
-96.06768052	-0.45804630	0.01577879
-96.05952052	-0.45804630	0.01577879
-96.05136052	-0.46595100	0.01577879
-96.04320052	-0.46595100	0.01577879
-96.03504052	-0.45804630	0.01577879
-96.02688052	-0.45804630	0.01577879
-96.01872052	-0.45804630	0.01577879
-96.01056052	-0.45804630	0.01577879
-96.00240052	-0.45804630	0.01577879
-95.99424052	-0.45804630	0.01577879
-95.98608052	-0.45804630	0.01577879
-95.97792052	-0.45804630	0.01577879
-95.96976052	-0.45804630	0.01577879
-95.96160052	-0.45804630	0.01577879
-95.95344052	-0.45804630	0.01577879
-95.94528052	-0.45804630	0.01577879
-95.93712052	-0.45017220	0.01577879
-95.92896052	-0.45804630	0.01577879
-95.92080052	-0.45804630	0.01577879
-95.91264052	-0.45804630	0.01577879
-95.90448052	-0.45804630	0.01577879
-95.89632052	-0.45804630	0.01577879
-95.88816052	-0.45804630	0.01577879
-95.88000052	-0.45017220	0.01577879
-95.87184052	-0.45017220	0.01577879
-95.86368052	-0.45017220	0.01577879
-95.85552052	-0.45017220	0.01577879
-95.84736052	-0.45804630	0.01577879
-95.83920052	-0.45804630	0.01577879
