Frequenz	Kanal A	Kanal B
(MHz)	(dBV)	(dBV)

0.11968613	-101.11960000	-72.88119000
0.12016296	-101.20820000	-72.68330000
0.12063980	-100.65750000	-71.53568000
0.12111664	-100.85130000	-70.90591000
0.12159348	-100.99970000	-71.48502000
0.12207031	-100.79150000	-72.85093000
0.12254715	-100.62030000	-72.72420000
0.12302399	-100.64780000	-72.63647000
0.12350082	-100.94340000	-72.85124000
0.12397766	-101.27180000	-73.14201000
0.12445450	-101.28850000	-73.12880000
0.12493134	-100.54060000	-72.95391000
0.12540817	-100.51020000	-72.84502000
0.12588501	-101.32550000	-72.73559000
0.12636185	-101.63680000	-72.57950000
0.12683868	-100.96910000	-72.29359000
0.12731552	-100.66440000	-72.56854000
0.12779236	-100.94030000	-73.06847000
0.12826920	-100.37670000	-73.34286000
0.12874603	-101.19000000	-73.30164000
0.12922287	-101.25900000	-73.16066000
0.12969971	-101.33540000	-73.29425000
0.13017654	-101.05090000	-73.50060000
0.13065338	-100.86540000	-73.69729000
0.13113022	-100.79190000	-73.37901000
0.13160706	-100.73300000	-73.88358000
0.13208389	-101.12140000	-72.91898000
0.13256073	-101.34400000	-73.11498000
0.13303757	-101.54270000	-73.20863000
0.13351440	-101.48610000	-73.37748000
0.13399124	-101.33950000	-73.10963000
0.13446808	-101.06650000	-72.63197000
0.13494492	-101.12930000	-72.87574000
0.13542175	-101.12250000	-73.23559000
0.13589859	-101.21870000	-73.11088000
0.13637543	-101.27290000	-73.19035000
0.13685226	-101.69760000	-73.09042000
0.13732910	-102.09420000	-73.73992000
0.13780594	-102.29670000	-73.34360000
0.13828278	-101.85480000	-73.34918000
0.13875961	-101.16190000	-73.33826000
0.13923645	-101.27760000	-73.31213000
0.13971329	-101.47810000	-73.50810000
0.14019012	-101.97450000	-73.29013000
0.14066696	-101.43370000	-73.27025000
0.14114380	-101.10960000	-73.50843000
0.14162064	-100.92730000	-73.15191000
0.14209747	-100.83240000	-73.52393000
0.14257431	-101.34540000	-73.61535000
0.14305115	-101.75340000	-73.19973000
0.14352798	-101.76760000	-73.20658000
0.14400482	-101.94180000	-73.45358000
0.14448166	-102.07820000	-73.68641000
0.14495850	-102.14150000	-73.64655000
0.14543533	-101.45120000	-73.68581000
0.14591217	-101.73110000	-73.24757000
0.14638901	-101.65610000	-73.16142000
0.14686584	-102.07130000	-73.41467000
0.14734268	-102.13200000	-73.18933000
0.14781952	-101.66130000	-73.68044000
0.14829636	-101.13390000	-73.59027000
0.14877319	-101.06840000	-73.61614000
0.14925003	-101.44060000	-73.61356000
0.14972687	-101.55050000	-73.48056000
0.15020370	-102.05470000	-73.42580000
0.15068054	-102.22690000	-73.19025000
0.15115738	-102.53710000	-73.22537000
0.15163422	-102.53340000	-73.40434000
0.15211105	-101.86240000	-73.24154000
0.15258789	-100.87300000	-72.95441000
0.15306473	-100.71250000	-73.50811000
0.15354156	-101.51950000	-73.70735000
0.15401840	-101.88050000	-73.82142000
0.15449524	-101.77110000	-73.79311000
0.15497208	-101.98290000	-73.86028000
0.15544891	-102.06280000	-73.45589000
0.15592575	-101.85160000	-73.18193000
0.15640259	-101.88620000	-73.40233000
0.15687943	-101.62360000	-73.93069000
0.15735626	-102.03850000	-73.77653000
0.15783310	-101.92050000	-73.62994000
0.15830994	-102.07430000	-73.45736000
0.15878677	-102.06410000	-73.46218000
0.15926361	-101.79590000	-73.74031000
0.15974045	-101.88030000	-73.83558000
0.16021729	-101.86500000	-73.74219000
0.16069412	-102.14740000	-73.61291000
0.16117096	-102.75200000	-73.52384000
0.16164780	-102.32560000	-73.79293000
0.16212463	-102.15680000	-73.36295000
0.16260147	-101.90820000	-73.79321000
0.16307831	-102.15680000	-73.87465000
0.16355515	-101.97580000	-73.56587000
