Zeit	Kanal A	Kanal C
(ms)	(V)	(mV)

-24.57599915	0.15003690	-49.15723000
-24.57395115	0.15003690	-49.15723000
-24.57190315	0.15003690	-49.15723000
-24.56985515	0.15003690	-47.57013000
-24.56780715	0.15003690	-49.15723000
-24.56575915	0.15003690	-47.57013000
-24.56371115	0.15003690	-47.57013000
-24.56166315	0.15003690	-47.57013000
-24.55961515	0.15003690	-47.57013000
-24.55756715	0.15003690	-47.57013000
-24.55551915	0.15003690	-49.15723000
-24.55347115	0.15003690	-47.57013000
-24.55142315	0.15003690	-47.57013000
-24.54937515	0.15003690	-47.57013000
-24.54732715	0.15003690	-47.57013000
-24.54527915	0.15003690	-47.57013000
-24.54323115	0.15003690	-47.57013000
-24.54118315	0.15003690	-47.57013000
-24.53913515	0.15003690	-47.57013000
-24.53708715	0.15003690	-49.15723000
-24.53503915	0.15003690	-47.57013000
-24.53299115	0.15003690	-47.57013000
-24.53094315	0.15003690	-47.57013000
-24.52889515	0.15003690	-49.15723000
-24.52684715	0.15003690	-49.15723000
-24.52479915	0.15003690	-47.57013000
-24.52275115	0.15003690	-47.57013000
-24.52070315	0.14213210	-47.57013000
-24.51865515	0.15003690	-47.57013000
-24.51660715	0.15003690	-47.57013000
-24.51455915	0.15003690	-44.40207000
-24.51251115	0.15003690	-41.22785000
-24.51046315	0.14213210	-39.64074000
-24.50841515	0.14213210	-38.05979000
-24.50636715	0.15003690	-36.47268000
-24.50431915	0.15003690	-36.47268000
-24.50227115	0.15003690	-36.47268000
-24.50022315	0.14213210	-36.47268000
-24.49817515	0.14213210	-36.47268000
-24.49612715	0.15003690	-36.47268000
-24.49407915	0.15003690	-34.88558000
-24.49203115	0.15003690	-34.88558000
-24.48998315	0.14213210	-34.88558000
-24.48793515	0.15003690	-36.47268000
-24.48588715	0.15003690	-36.47268000
-24.48383915	0.15003690	-36.47268000
-24.48179115	0.15003690	-36.47268000
-24.47974315	0.15003690	-36.47268000
-24.47769515	0.15003690	-34.88558000
-24.47564715	0.15003690	-34.88558000
-24.47359915	0.15003690	-34.88558000
-24.47155115	0.15003690	-34.88558000
-24.46950315	0.15003690	-34.88558000
-24.46745515	0.15003690	-34.88558000
-24.46540715	0.14213210	-34.88558000
-24.46335915	0.14213210	-34.88558000
-24.46131115	0.14213210	-36.47268000
-24.45926315	0.14213210	-34.88558000
-24.45721515	0.14213210	-34.88558000
-24.45516715	0.14213210	-34.88558000
-24.45311915	0.14213210	-34.88558000
-24.45107115	0.14213210	-36.47268000
-24.44902315	0.14213210	-34.88558000
-24.44697515	0.14213210	-34.88558000
-24.44492715	0.14213210	-34.88558000
-24.44287915	0.14213210	-33.29847000
-24.44083115	0.14213210	-31.71137000
-24.43878315	0.14213210	-30.13041000
-24.43673515	0.14213210	-28.54330000
-24.43468715	0.14213210	-28.54330000
-24.43263915	0.14213210	-26.95620000
-24.43059115	0.14213210	-28.54330000
-24.42854315	0.14213210	-26.95620000
-24.42649515	0.14213210	-28.54330000
-24.42444715	0.14213210	-26.95620000
-24.42239915	0.14213210	-26.95620000
-24.42035115	0.14213210	-26.95620000
-24.41830315	0.14213210	-28.54330000
-24.41625515	0.14213210	-28.54330000
-24.41420715	0.14213210	-26.95620000
-24.41215915	0.14213210	-26.95620000
-24.41011115	0.14213210	-30.13041000
-24.40806315	0.14213210	-28.54330000
-24.40601515	0.14213210	-28.54330000
-24.40396715	0.14213210	-26.95620000
-24.40191915	0.15003690	-26.95620000
-24.39987115	0.14213210	-26.95620000
-24.39782315	0.14213210	-28.54330000
-24.39577515	0.14213210	-28.54330000
-24.39372715	0.14213210	-28.54330000
-24.39167915	0.14213210	-28.54330000
-24.38963115	0.14213210	-28.54330000
-24.38758315	0.14213210	-26.95620000
-24.38553515	0.14213210	-28.54330000
-24.38348715	0.14213210	-26.95620000
-24.38143915	0.14213210	-28.54330000
-24.37939115	0.13425810	-28.54330000
-24.37734315	0.14213210	-26.95620000
-24.37529515	0.14213210	-26.95620000
-24.37324715	0.14213210	-26.95620000
-24.37119915	0.14213210	-25.36909000
-24.36915115	0.13425810	-23.78199000
-24.36710315	0.14213210	-20.61393000
-24.36505515	0.14213210	-17.43971000
-24.36300715	0.13425810	-14.27165000
-24.36095915	0.14213210	-12.68455000
-24.35891115	0.14213210	-11.09744000
-24.35686315	0.14213210	-11.09744000
-24.35481515	0.13425810	-14.27165000
-24.35276716	0.14213210	-11.09744000
-24.35071916	0.14213210	-11.09744000
-24.34867116	0.14213210	-11.09744000
-24.34662316	0.14213210	-11.09744000
-24.34457516	0.14213210	-11.09744000
-24.34252716	0.14213210	-11.09744000
-24.34047916	0.14213210	-9.51033400
-24.33843116	0.14213210	-11.09744000
-24.33638316	0.14213210	-9.51033400
-24.33433516	0.13425810	-11.09744000
-24.33228716	0.13425810	-12.68455000
-24.33023916	0.14213210	-11.09744000
-24.32819116	0.13425810	-11.09744000
-24.32614316	0.14213210	-11.09744000
-24.32409516	0.13425810	-11.09744000
-24.32204716	0.14213210	-11.09744000
-24.31999916	0.13425810	-11.09744000
-24.31795116	0.13425810	-11.09744000
-24.31590316	0.14213210	-9.51033400
-24.31385516	0.13425810	-11.09744000
-24.31180716	0.13425810	-11.09744000
-24.30975916	0.14213210	-11.09744000
-24.30771116	0.13425810	-11.09744000
-24.30566316	0.13425810	-11.09744000
-24.30361516	0.13425810	-11.09744000
-24.30156716	0.13425810	-11.09744000
-24.29951916	0.13425810	-11.09744000
-24.29747116	0.13425810	-7.92322800
-24.29542316	0.13425810	-4.75516700
-24.29337516	0.13425810	-6.34227300
-24.29132716	0.13425810	-4.75516700
-24.28927916	0.14213210	-3.16806100
-24.28723116	0.13425810	-4.75516700
-24.28518316	0.13425810	-3.16806100
-24.28313516	0.13425810	-3.16806100
-24.28108716	0.13425810	-1.58095500
-24.27903916	0.13425810	-3.16806100
-24.27699116	0.13425810	-3.16806100
-24.27494316	0.13425810	-3.16806100
-24.27289516	0.13425810	-3.16806100
-24.27084716	0.13425810	-1.58095500
-24.26879916	0.13425810	-1.58095500
-24.26675116	0.13425810	-1.58095500
-24.26470316	0.13425810	-3.16806100
-24.26265516	0.13425810	-4.75516700
-24.26060716	0.13425810	-3.16806100
-24.25855916	0.13425810	-3.16806100
-24.25651116	0.13425810	-3.16806100
