Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

15.42143888	0.30010460	-7.92199800
15.42348688	0.30010460	-7.92199800
15.42553488	0.30010460	-7.92199800
15.42758288	0.30010460	-7.92199800
15.42963088	0.30010460	-7.92199800
15.43167888	0.30010460	-7.92199800
15.43372688	0.30010460	-7.92199800
15.43577488	0.29219980	-7.92199800
15.43782288	0.30010460	-7.92199800
15.43987088	0.30010460	-7.92199800
15.44191888	0.30010460	-7.92199800
15.44396688	0.30010460	-7.92199800
15.44601488	0.30010460	-7.92199800
15.44806288	0.30010460	-7.92199800
15.45011088	0.30010460	-7.92199800
15.45215888	0.30010460	-7.92199800
15.45420688	0.30010460	-7.92199800
15.45625488	0.30010460	-7.92199800
15.45830288	0.30010460	-7.92199800
15.46035088	0.30010460	-7.92199800
15.46239888	0.30010460	-7.92199800
15.46444688	0.30010460	-7.92199800
15.46649488	0.30010460	-7.92199800
15.46854288	0.30010460	-7.92199800
15.47059088	0.30010460	-7.92199800
15.47263888	0.30010460	-7.92199800
15.47468688	0.30010460	-7.92199800
15.47673488	0.30010460	-7.92199800
15.47878288	0.30010460	-7.92199800
15.48083088	0.29219980	-7.92199800
15.48287888	0.30010460	-7.92199800
15.48492688	0.30010460	-7.92199800
15.48697488	0.30010460	-7.92199800
15.48902288	0.30010460	-7.92199800
15.49107088	0.30010460	-7.92199800
15.49311888	0.30010460	-7.92199800
15.49516688	0.30010460	-7.92199800
15.49721488	0.30010460	-7.92199800
15.49926288	0.30010460	-7.92199800
15.50131088	0.30010460	-7.92199800
15.50335888	0.30010460	-7.92199800
15.50540688	0.30010460	-7.92199800
15.50745488	0.30010460	-7.92199800
15.50950288	0.30010460	-7.92199800
15.51155088	0.30010460	-7.92199800
15.51359888	0.30010460	-7.92199800
15.51564688	0.30010460	-7.92199800
15.51769488	0.30010460	-7.92199800
15.51974288	0.29219980	-7.92199800
15.52179088	0.30010460	-7.92199800
15.52383888	0.30010460	-7.92199800
15.52588688	0.29219980	-7.92199800
15.52793488	0.30010460	-7.92199800
15.52998288	0.29219980	-7.92199800
15.53203088	0.29219980	-7.92199800
15.53407888	0.29219980	-7.92199800
15.53612688	0.29219980	-7.92199800
15.53817488	0.30010460	-7.92199800
15.54022288	0.29219980	-7.92199800
15.54227088	0.30010460	-7.92199800
15.54431888	0.30010460	-7.92199800
15.54636688	0.29219980	-7.92199800
15.54841488	0.30010460	-7.92199800
15.55046288	0.29219980	-7.92199800
15.55251088	0.30010460	-7.92199800
15.55455888	0.30010460	-7.92199800
15.55660688	0.29219980	-7.92199800
15.55865488	0.29219980	-7.92199800
15.56070288	0.29219980	-7.92199800
15.56275088	0.29219980	-7.92199800
15.56479888	0.29219980	-7.92199800
15.56684688	0.29219980	-7.92199800
15.56889488	0.29219980	-7.92199800
15.57094288	0.29219980	-7.92199800
15.57299088	0.29219980	-7.92199800
15.57503888	0.29219980	-7.92199800
15.57708688	0.29219980	-7.92199800
15.57913488	0.30010460	-7.92199800
15.58118288	0.29219980	-7.92199800
15.58323088	0.29219980	-7.92199800
15.58527888	0.30010460	-7.92199800
15.58732688	0.29219980	-7.92199800
15.58937488	0.30010460	-7.92199800
15.59142288	0.29219980	-7.92199800
15.59347088	0.29219980	-7.92199800
15.59551888	0.29219980	-7.92199800
15.59756688	0.29219980	-7.92199800
15.59961488	0.29219980	-7.92199800
15.60166288	0.29219980	-7.92199800
15.60371088	0.29219980	-7.92199800
15.60575888	0.29219980	-7.92199800
15.60780688	0.29219980	-7.92199800
15.60985488	0.29219980	-7.92199800
15.61190288	0.29219980	-7.92199800
15.61395088	0.29219980	-7.92199800
15.61599888	0.29219980	-7.92199800
15.61804688	0.30010460	-7.92199800
15.62009488	0.29219980	-7.92199800
15.62214288	0.29219980	-7.92199800
15.62419088	0.29219980	-7.92199800
15.62623888	0.29219980	-7.76328800
15.62828688	0.29219980	-7.92199800
15.63033488	0.29219980	-7.76328800
15.63238288	0.29219980	-7.92199800
15.63443088	0.29219980	-7.92199800
15.63647888	0.29219980	-7.92199800
15.63852688	0.29219980	-7.76328800
15.64057488	0.28429500	-7.92199800
15.64262288	0.29219980	-7.92199800
15.64467088	0.29219980	-7.92199800
15.64671888	0.29219980	-7.92199800
15.64876688	0.29219980	-7.76328800
15.65081488	0.29219980	-7.76328800
15.65286288	0.29219980	-7.76328800
15.65491088	0.29219980	-7.76328800
15.65695888	0.29219980	-7.76328800
15.65900688	0.29219980	-7.76328800
15.66105488	0.29219980	-7.76328800
15.66310288	0.29219980	-7.76328800
15.66515088	0.29219980	-7.76328800
15.66719888	0.29219980	-7.76328800
15.66924688	0.29219980	-7.76328800
15.67129488	0.28429500	-7.76328800
15.67334288	0.28429500	-7.76328800
15.67539088	0.29219980	-7.76328800
15.67743888	0.29219980	-7.76328800
15.67948688	0.29219980	-7.76328800
15.68153488	0.28429500	-7.76328800
15.68358288	0.28429500	-7.76328800
15.68563088	0.28429500	-7.76328800
15.68767888	0.28429500	-7.76328800
15.68972688	0.29219980	-7.76328800
15.69177488	0.28429500	-7.76328800
15.69382288	0.28429500	-7.76328800
15.69587088	0.28429500	-7.76328800
15.69791888	0.28429500	-7.76328800
15.69996687	0.28429500	-7.76328800
15.70201487	0.28429500	-7.76328800
15.70406287	0.29219980	-7.76328800
15.70611087	0.28429500	-7.76328800
15.70815887	0.28429500	-7.76328800
15.71020687	0.29219980	-7.76328800
15.71225487	0.28429500	-7.76328800
15.71430287	0.29219980	-7.76328800
15.71635087	0.29219980	-7.76328800
15.71839887	0.29219980	-7.76328800
15.72044687	0.28429500	-7.76328800
15.72249487	0.29219980	-7.76328800
15.72454287	0.28429500	-7.76328800
15.72659087	0.29219980	-7.76328800
15.72863887	0.28429500	-7.76328800
15.73068687	0.28429500	-7.76328800
15.73273487	0.28429500	-7.76328800
15.73478287	0.28429500	-7.76328800
15.73683087	0.28429500	-7.76328800
15.73887887	0.28429500	-7.76328800
15.74092687	0.28429500	-7.76328800
15.74297487	0.28429500	-7.76328800
15.74502287	0.28429500	-7.76328800
15.74707087	0.28429500	-7.76328800
15.74911887	0.28429500	-7.76328800
15.75116687	0.28429500	-7.76328800
15.75321487	0.28429500	-7.76328800
15.75526287	0.28429500	-7.76328800
15.75731087	0.28429500	-7.76328800
15.75935887	0.28429500	-7.76328800
15.76140687	0.28429500	-7.76328800
15.76345487	0.28429500	-7.76328800
15.76550287	0.28429500	-7.76328800
15.76755087	0.28429500	-7.76328800
15.76959887	0.28429500	-7.76328800
15.77164687	0.28429500	-7.76328800
15.77369487	0.28429500	-7.76328800
15.77574287	0.28429500	-7.76328800
15.77779087	0.28429500	-7.76328800
15.77983887	0.28429500	-7.76328800
15.78188687	0.28429500	-7.76328800
15.78393487	0.28429500	-7.76328800
15.78598287	0.28429500	-7.76328800
15.78803087	0.28429500	-7.76328800
15.79007887	0.28429500	-7.76328800
15.79212687	0.28429500	-7.76328800
15.79417487	0.28429500	-7.76328800
15.79622287	0.28429500	-7.76328800
15.79827087	0.28429500	-7.76328800
15.80031887	0.28429500	-7.76328800
15.80236687	0.28429500	-7.76328800
15.80441487	0.28429500	-7.76328800
15.80646287	0.28429500	-7.76328800
15.80851087	0.28429500	-7.76328800
15.81055887	0.28429500	-7.76328800
15.81260687	0.28429500	-7.76328800
15.81465487	0.28429500	-7.76328800
15.81670287	0.28429500	-7.76328800
15.81875087	0.28429500	-7.76328800
15.82079887	0.28429500	-7.76328800
15.82284687	0.27642100	-7.76328800
15.82489487	0.28429500	-7.76328800
15.82694287	0.28429500	-7.76328800
15.82899087	0.27642100	-7.76328800
15.83103887	0.28429500	-7.76328800
15.83308687	0.28429500	-7.76328800
15.83513487	0.28429500	-7.76328800
15.83718287	0.27642100	-7.76328800
15.83923087	0.28429500	-7.76328800
15.84127887	0.28429500	-7.76328800
15.84332687	0.28429500	-7.76328800
15.84537487	0.28429500	-7.76328800
15.84742287	0.28429500	-7.76328800
15.84947087	0.27642100	-7.76328800
15.85151887	0.28429500	-7.76328800
15.85356687	0.28429500	-7.76328800
15.85561487	0.28429500	-7.76328800
15.85766287	0.28429500	-7.76328800
15.85971087	0.28429500	-7.76328800
15.86175887	0.27642100	-7.76328800
15.86380687	0.28429500	-7.76328800
15.86585487	0.28429500	-7.76328800
15.86790287	0.27642100	-7.76328800
15.86995087	0.27642100	-7.76328800
15.87199887	0.27642100	-7.76328800
15.87404687	0.28429500	-7.76328800
15.87609487	0.27642100	-7.76328800
15.87814287	0.27642100	-7.76328800
15.88019087	0.27642100	-7.76328800
15.88223887	0.27642100	-7.76328800
15.88428687	0.27642100	-7.76328800
15.88633487	0.27642100	-7.76328800
15.88838287	0.27642100	-7.76328800
15.89043087	0.27642100	-7.76328800
15.89247887	0.27642100	-7.76328800
15.89452687	0.27642100	-7.76328800
15.89657487	0.27642100	-7.76328800
15.89862287	0.27642100	-7.76328800
15.90067087	0.27642100	-7.76328800
15.90271887	0.27642100	-7.76328800
15.90476687	0.27642100	-7.76328800
15.90681487	0.27642100	-7.76328800
15.90886287	0.27642100	-7.76328800
15.91091087	0.27642100	-7.76328800
15.91295887	0.27642100	-7.76328800
15.91500687	0.27642100	-7.76328800
15.91705487	0.27642100	-7.76328800
15.91910287	0.27642100	-7.76328800
15.92115087	0.27642100	-7.76328800
15.92319887	0.27642100	-7.76328800
15.92524687	0.27642100	-7.76328800
15.92729487	0.27642100	-7.76328800
15.92934287	0.27642100	-7.76328800
15.93139087	0.27642100	-7.76328800
15.93343887	0.27642100	-7.76328800
15.93548687	0.27642100	-7.76328800
15.93753487	0.27642100	-7.76328800
15.93958287	0.27642100	-7.76328800
15.94163087	0.27642100	-7.76328800
15.94367887	0.27642100	-7.76328800
15.94572687	0.27642100	-7.60519200
15.94777487	0.27642100	-7.76328800
